# BEB ionization cross sections for He
# Energy[eV]  Total_cross_section[Ang^2]
   18.098708  2.693001e-03
   18.467288  1.279108e-02
   18.843374  2.332287e-02
   19.227118  3.424369e-02
   19.618678  4.551143e-02
   20.018212  5.708639e-02
   20.425882  6.893119e-02
   20.841855  8.101062e-02
   21.266298  9.329150e-02
   21.699386  1.057426e-01
   22.141293  1.183346e-01
   22.592200  1.310399e-01
   23.052289  1.438324e-01
   23.521748  1.566877e-01
   24.000768  1.695829e-01
   24.489543  1.824964e-01
   24.988272  1.954080e-01
   25.497157  2.082985e-01
   26.016406  2.211503e-01
   26.546229  2.339465e-01
   27.086842  2.466715e-01
   27.638465  2.593106e-01
   28.201321  2.718501e-01
   28.775640  2.842771e-01
   29.361655  2.965797e-01
   29.959605  3.087465e-01
   30.569731  3.207672e-01
   31.192283  3.326320e-01
   31.827512  3.443318e-01
   32.475679  3.558582e-01
   33.137045  3.672035e-01
   33.811880  3.783602e-01
   34.500458  3.893218e-01
   35.203058  4.000820e-01
   35.919968  4.106353e-01
   36.651477  4.209762e-01
   37.397883  4.311002e-01
   38.159489  4.410027e-01
   38.936606  4.506799e-01
   39.729549  4.601282e-01
   40.538640  4.693444e-01
   41.364208  4.783256e-01
   42.206589  4.870693e-01
   43.066125  4.955733e-01
   43.943165  5.038356e-01
   44.838066  5.118547e-01
   45.751192  5.196293e-01
   46.682914  5.271581e-01
   47.633610  5.344404e-01
   48.603667  5.414757e-01
   49.593479  5.482635e-01
   50.603448  5.548037e-01
   51.633986  5.610965e-01
   52.685510  5.671420e-01
   53.758449  5.729408e-01
   54.853238  5.784935e-01
   55.970323  5.838010e-01
   57.110157  5.888643e-01
   58.273203  5.936846e-01
   59.459935  5.982632e-01
   60.670835  6.026017e-01
   61.906394  6.067017e-01
   63.167116  6.105649e-01
   64.453512  6.141934e-01
   65.766106  6.175891e-01
   67.105431  6.207542e-01
   68.472031  6.236911e-01
   69.866462  6.264021e-01
   71.289290  6.288897e-01
   72.741094  6.311566e-01
   74.222464  6.332055e-01
   75.734002  6.350392e-01
   77.276323  6.366606e-01
   78.850053  6.380726e-01
   80.455831  6.392785e-01
   82.094312  6.402811e-01
   83.766160  6.410839e-01
   85.472055  6.416901e-01
   87.212691  6.421029e-01
   88.988775  6.423258e-01
   90.801028  6.423623e-01
   92.650188  6.422158e-01
   94.537006  6.418899e-01
   96.462249  6.413881e-01
   98.426700  6.407141e-01
  100.431157  6.398715e-01
  102.476434  6.388641e-01
  104.563363  6.376954e-01
  106.692793  6.363693e-01
  108.865588  6.348895e-01
  111.082633  6.332597e-01
  113.344827  6.314837e-01
  115.653091  6.295653e-01
  118.008362  6.275084e-01
  120.411599  6.253166e-01
  122.863777  6.229937e-01
  125.365894  6.205436e-01
  127.918967  6.179700e-01
  130.524032  6.152766e-01
  133.182150  6.124673e-01
  135.894400  6.095456e-01
  138.661885  6.065155e-01
  141.485730  6.033804e-01
  144.367083  6.001441e-01
  147.307114  5.968103e-01
  150.307019  5.933825e-01
  153.368016  5.898643e-01
  156.491351  5.862593e-01
  159.678292  5.825709e-01
  162.930136  5.788026e-01
  166.248203  5.749578e-01
  169.633842  5.710400e-01
  173.088430  5.670525e-01
  176.613370  5.629985e-01
  180.210096  5.588814e-01
  183.880069  5.547043e-01
  187.624781  5.504704e-01
  191.445754  5.461828e-01
  195.344540  5.418445e-01
  199.322726  5.374586e-01
  203.381927  5.330280e-01
  207.523793  5.285556e-01
  211.750009  5.240443e-01
  216.062291  5.194968e-01
  220.462393  5.149158e-01
  224.952102  5.103041e-01
  229.533245  5.056643e-01
  234.207682  5.009989e-01
  238.977314  4.963105e-01
  243.844079  4.916014e-01
  248.809956  4.868741e-01
  253.876963  4.821309e-01
  259.047160  4.773740e-01
  264.322647  4.726058e-01
  269.705569  4.678283e-01
  275.198114  4.630437e-01
  280.802515  4.582540e-01
  286.521050  4.534612e-01
  292.356042  4.486671e-01
  298.309863  4.438738e-01
  304.384934  4.390830e-01
  310.583724  4.342964e-01
  316.908751  4.295158e-01
  323.362588  4.247429e-01
  329.947857  4.199791e-01
  336.667235  4.152262e-01
  343.523452  4.104855e-01
  350.519296  4.057585e-01
  357.657611  4.010466e-01
  364.941297  3.963512e-01
  372.373315  3.916735e-01
  379.956685  3.870147e-01
  387.694491  3.823761e-01
  395.589877  3.777588e-01
  403.646053  3.731638e-01
  411.866292  3.685924e-01
  420.253936  3.640453e-01
  428.812394  3.595237e-01
  437.545145  3.550284e-01
  446.455738  3.505604e-01
  455.547795  3.461203e-01
  464.825011  3.417091e-01
  474.291158  3.373275e-01
  483.950082  3.329762e-01
  493.805710  3.286559e-01
  503.862048  3.243671e-01
  514.123182  3.201106e-01
  524.593285  3.158869e-01
  535.276610  3.116965e-01
  546.177502  3.075400e-01
  557.300389  3.034177e-01
  568.649794  2.993301e-01
  580.230329  2.952777e-01
  592.046701  2.912607e-01
  604.103714  2.872796e-01
  616.406267  2.833347e-01
  628.959361  2.794262e-01
  641.768098  2.755544e-01
  654.837685  2.717195e-01
  668.173434  2.679218e-01
  681.780765  2.641615e-01
  695.665208  2.604386e-01
  709.832408  2.567534e-01
  724.288123  2.531060e-01
  739.038227  2.494963e-01
  754.088718  2.459247e-01
  769.445710  2.423910e-01
  785.115448  2.388953e-01
  801.104299  2.354377e-01
  817.418763  2.320180e-01
  834.065470  2.286365e-01
  851.051187  2.252929e-01
  868.382817  2.219872e-01
  886.067406  2.187194e-01
  904.112141  2.154894e-01
  922.524356  2.122970e-01
  941.311535  2.091423e-01
  960.481315  2.060250e-01
  980.041486  2.029451e-01
 1000.000000  1.999024e-01
