# BEB ionization cross sections for Kr
# Energy[eV]  Total_cross_section[Ang^2]
   10.583001  1.667416e-02
   10.827681  5.851782e-02
   11.078017  1.025918e-01
   11.334141  1.486926e-01
   11.596187  1.966296e-01
   11.864291  2.462241e-01
   12.138594  2.973085e-01
   12.419239  3.497258e-01
   12.706372  4.033289e-01
   13.000144  4.579799e-01
   13.300707  5.135493e-01
   13.608220  5.699162e-01
   13.922843  6.269667e-01
   14.244739  6.845946e-01
   14.574078  7.426997e-01
   14.911031  8.011886e-01
   15.255775  8.599734e-01
   15.608489  9.189715e-01
   15.969358  9.781056e-01
   16.338570  1.037303e+00
   16.716318  1.096496e+00
   17.102800  1.155619e+00
   17.498217  1.214614e+00
   17.902777  1.273422e+00
   18.316689  1.331992e+00
   18.740172  1.390272e+00
   19.173445  1.448215e+00
   19.616736  1.505777e+00
   20.070276  1.562916e+00
   20.534301  1.619591e+00
   21.009055  1.675767e+00
   21.494785  1.731407e+00
   21.991745  1.786478e+00
   22.500195  1.840948e+00
   23.020400  1.894788e+00
   23.552633  1.947968e+00
   24.097170  2.000463e+00
   24.654298  2.054672e+00
   25.224306  2.109460e+00
   25.807493  2.163674e+00
   26.404163  2.217274e+00
   27.014628  2.270222e+00
   27.639207  2.322482e+00
   28.278226  2.374020e+00
   28.932020  2.424805e+00
   29.600929  2.474807e+00
   30.285304  2.523997e+00
   30.985501  2.572349e+00
   31.701887  2.619837e+00
   32.434835  2.666437e+00
   33.184730  2.712128e+00
   33.951962  2.756888e+00
   34.736932  2.800697e+00
   35.540051  2.843536e+00
   36.361739  2.885389e+00
   37.202423  2.926238e+00
   38.062545  2.966069e+00
   38.942552  3.004867e+00
   39.842905  3.042620e+00
   40.764074  3.079314e+00
   41.706541  3.114938e+00
   42.670798  3.149483e+00
   43.657348  3.182938e+00
   44.666707  3.215295e+00
   45.699403  3.246546e+00
   46.755975  3.276684e+00
   47.836975  3.305704e+00
   48.942967  3.333599e+00
   50.074530  3.360365e+00
   51.232255  3.385999e+00
   52.416746  3.410497e+00
   53.628623  3.433857e+00
   54.868519  3.456079e+00
   56.137081  3.477160e+00
   57.434972  3.497102e+00
   58.762871  3.515904e+00
   60.121470  3.533569e+00
   61.511481  3.550099e+00
   62.933628  3.565496e+00
   64.388656  3.579763e+00
   65.877324  3.592906e+00
   67.400410  3.604929e+00
   68.958709  3.615838e+00
   70.553037  3.625638e+00
   72.184226  3.634337e+00
   73.853127  3.641943e+00
   75.560614  3.648463e+00
   77.307578  3.653906e+00
   79.094932  3.658282e+00
   80.923609  3.661600e+00
   82.794566  3.663872e+00
   84.708779  3.665107e+00
   86.667249  3.665319e+00
   88.670999  3.664812e+00
   90.721075  3.664088e+00
   92.818549  3.662436e+00
   94.964517  3.659864e+00
   97.160100  3.656382e+00
   99.406445  3.651999e+00
  101.704725  3.646727e+00
  104.056142  3.640576e+00
  106.461924  3.633558e+00
  108.923327  3.625687e+00
  111.441638  3.616976e+00
  114.018172  3.607438e+00
  116.654276  3.597088e+00
  119.351327  3.585941e+00
  122.110734  3.574012e+00
  124.933938  3.561317e+00
  127.822415  3.547872e+00
  130.777674  3.533694e+00
  133.801258  3.518800e+00
  136.894747  3.503207e+00
  140.059759  3.486932e+00
  143.297945  3.469994e+00
  146.610998  3.452410e+00
  150.000649  3.434198e+00
  153.468670  3.415378e+00
  157.016870  3.395967e+00
  160.647106  3.375984e+00
  164.361272  3.355449e+00
  168.161310  3.334379e+00
  172.049206  3.312794e+00
  176.026989  3.290712e+00
  180.096739  3.268153e+00
  184.260582  3.245136e+00
  188.520692  3.221678e+00
  192.879297  3.197800e+00
  197.338673  3.173520e+00
  201.901150  3.148925e+00
  206.569111  3.124097e+00
  211.344996  3.098932e+00
  216.231299  3.073448e+00
  221.230574  3.047661e+00
  226.345433  3.021589e+00
  231.578547  2.995248e+00
  236.932651  2.968655e+00
  242.410542  2.941827e+00
  248.015081  2.914779e+00
  253.749198  2.887529e+00
  259.615889  2.860090e+00
  265.618217  2.832500e+00
  271.759319  2.804778e+00
  278.042403  2.776917e+00
  284.470753  2.748931e+00
  291.047727  2.720836e+00
  297.776760  2.692644e+00
  304.661369  2.664370e+00
  311.705150  2.636027e+00
  318.911783  2.607629e+00
  326.285034  2.579189e+00
  333.828755  2.550718e+00
  341.546887  2.522231e+00
  349.443463  2.493737e+00
  357.522608  2.465250e+00
  365.788542  2.436781e+00
  374.245586  2.408340e+00
  382.898156  2.379939e+00
  391.750775  2.351588e+00
  400.808066  2.323296e+00
  410.074762  2.295075e+00
  419.555704  2.266933e+00
  429.255846  2.238879e+00
  439.180256  2.210922e+00
  449.334118  2.183072e+00
  459.722738  2.155335e+00
  470.351543  2.127720e+00
  481.226087  2.100235e+00
  492.352050  2.072886e+00
  503.735246  2.045681e+00
  515.381622  2.018626e+00
  527.297263  1.991728e+00
  539.488393  1.964993e+00
  551.961383  1.938427e+00
  564.722749  1.912035e+00
  577.779158  1.885823e+00
  591.137432  1.859795e+00
  604.804549  1.833956e+00
  618.787651  1.808311e+00
  633.094042  1.782864e+00
  647.731198  1.757619e+00
  662.706765  1.732579e+00
  678.028567  1.707749e+00
  693.704611  1.683131e+00
  709.743085  1.658729e+00
  726.152369  1.634546e+00
  742.941036  1.610583e+00
  760.117858  1.586844e+00
  777.691808  1.563330e+00
  795.672069  1.540044e+00
  814.068034  1.516988e+00
  832.889315  1.494163e+00
  852.145744  1.471571e+00
  871.847382  1.449213e+00
  892.004523  1.427090e+00
  912.627698  1.405203e+00
  933.727681  1.383554e+00
  955.315496  1.362142e+00
  977.402423  1.340968e+00
 1000.000000  1.320034e+00
