# BEB ionization cross sections for Ne
# Energy[eV]  Total_cross_section[Ang^2]
   11.781446  1.380859e-02
   12.047337  5.141229e-02
   12.319229  9.096579e-02
   12.597257  1.322909e-01
   12.881560  1.752202e-01
   13.172280  2.195967e-01
   13.469560  2.652729e-01
   13.773550  3.121103e-01
   14.084400  3.599791e-01
   14.402266  4.087573e-01
   14.727305  4.583304e-01
   15.059680  5.085909e-01
   15.399557  5.594378e-01
   15.747104  6.107766e-01
   16.102495  6.625182e-01
   16.465906  7.145790e-01
   16.837519  7.668807e-01
   17.217519  8.193495e-01
   17.606095  8.719162e-01
   18.003441  9.245157e-01
   18.409754  9.770868e-01
   18.825237  1.029572e+00
   19.250097  1.081917e+00
   19.684545  1.134071e+00
   20.128799  1.185986e+00
   20.583078  1.237617e+00
   21.047610  1.288922e+00
   21.522626  1.339860e+00
   22.008363  1.390393e+00
   22.505061  1.440487e+00
   23.012970  1.490106e+00
   23.532342  1.539221e+00
   24.063434  1.587800e+00
   24.606513  1.635815e+00
   25.161849  1.683240e+00
   25.729718  1.730050e+00
   26.310402  1.776220e+00
   26.904192  1.824490e+00
   27.511383  1.872953e+00
   28.132278  1.920882e+00
   28.767185  1.968239e+00
   29.416421  2.014991e+00
   30.080310  2.061106e+00
   30.759182  2.106552e+00
   31.453374  2.151301e+00
   32.163234  2.195327e+00
   32.889115  2.238604e+00
   33.631377  2.281108e+00
   34.390392  2.322817e+00
   35.166536  2.363710e+00
   35.960197  2.403767e+00
   36.771770  2.442970e+00
   37.601658  2.481302e+00
   38.450277  2.518747e+00
   39.318047  2.555289e+00
   40.205402  2.590915e+00
   41.112783  2.625612e+00
   42.040643  2.659369e+00
   42.989443  2.692174e+00
   43.959656  2.724017e+00
   44.951766  2.754889e+00
   45.966266  2.784782e+00
   47.003662  2.813689e+00
   48.064471  2.841603e+00
   49.149220  2.868519e+00
   50.258451  2.894431e+00
   51.392716  2.919336e+00
   52.552580  2.943229e+00
   53.738620  2.966109e+00
   54.951428  2.987973e+00
   56.191607  3.008820e+00
   57.459775  3.028650e+00
   58.756564  3.047462e+00
   60.082619  3.065258e+00
   61.438602  3.082039e+00
   62.825188  3.097807e+00
   64.243067  3.112565e+00
   65.692945  3.126316e+00
   67.175546  3.139065e+00
   68.691606  3.150815e+00
   70.241883  3.161573e+00
