# BEB ionization cross sections for Xe
# Energy[eV]  Total_cross_section[Ang^2]
    9.321753  4.409038e-02
    9.543356  1.441511e-01
    9.770227  2.492436e-01
   10.002491  3.588209e-01
   10.240277  4.723716e-01
   10.483716  5.894177e-01
   10.732942  7.095124e-01
   10.988092  8.322380e-01
   11.249309  9.572044e-01
   11.516735  1.084047e+00
   11.790518  1.212425e+00
   12.070810  1.342020e+00
   12.357765  1.472536e+00
   12.651542  1.603695e+00
   12.952303  1.735238e+00
   13.260214  1.866923e+00
   13.575445  1.998524e+00
   13.898169  2.129831e+00
   14.228566  2.260648e+00
   14.566817  2.390791e+00
   14.913109  2.520088e+00
   15.267633  2.648382e+00
   15.630585  2.775523e+00
   16.002166  2.901372e+00
   16.382580  3.025802e+00
   16.772038  3.148691e+00
   17.170754  3.269928e+00
   17.578948  3.389409e+00
   17.996847  3.507038e+00
   18.424680  3.622725e+00
   18.862684  3.736388e+00
   19.311100  3.847948e+00
   19.770176  3.957336e+00
   20.240166  4.064484e+00
   20.721329  4.169334e+00
   21.213930  4.271829e+00
   21.718242  4.374278e+00
   22.234542  4.480720e+00
   22.763116  4.585089e+00
   23.304256  4.687293e+00
   23.858261  4.787249e+00
   24.425435  4.884881e+00
   25.006093  4.980118e+00
   25.600554  5.072897e+00
   26.209148  5.163160e+00
   26.832209  5.250855e+00
   27.470082  5.335934e+00
   28.123119  5.418356e+00
   28.791681  5.498085e+00
   29.476136  5.575087e+00
   30.176862  5.649335e+00
   30.894246  5.720804e+00
   31.628685  5.789476e+00
   32.380583  5.855334e+00
   33.150356  5.918367e+00
   33.938428  5.978565e+00
   34.745235  6.035923e+00
   35.571222  6.090439e+00
   36.416845  6.142115e+00
   37.282570  6.190953e+00
   38.168876  6.236963e+00
   39.076252  6.280152e+00
   40.005199  6.320533e+00
   40.956229  6.358122e+00
   41.929868  6.392935e+00
   42.926652  6.424992e+00
   43.947133  6.454316e+00
   44.991874  6.480929e+00
   46.061450  6.504858e+00
   47.156454  6.526132e+00
   48.277488  6.544780e+00
   49.425173  6.560833e+00
   50.600141  6.574326e+00
   51.803041  6.585293e+00
   53.034538  6.593771e+00
   54.295310  6.599797e+00
   55.586054  6.603412e+00
   56.907483  6.604657e+00
   58.260325  6.603572e+00
   59.645329  6.600201e+00
   61.063257  6.594589e+00
   62.514894  6.588465e+00
   64.001039  6.582392e+00
   65.522514  6.574409e+00
   67.080159  6.564544e+00
   68.674833  6.552824e+00
   70.307417  6.539279e+00
   71.978812  6.523942e+00
   73.689940  6.506846e+00
   75.441746  6.488027e+00
   77.235198  6.467522e+00
   79.071284  6.445367e+00
   80.951019  6.421603e+00
   82.875441  6.396269e+00
   84.845611  6.369405e+00
   86.862617  6.341055e+00
   88.927573  6.311259e+00
   91.041619  6.280060e+00
   93.205921  6.247502e+00
   95.421674  6.213629e+00
   97.690101  6.178484e+00
  100.012455  6.142111e+00
  102.390018  6.104556e+00
  104.824102  6.065861e+00
  107.316050  6.026071e+00
  109.867238  5.985231e+00
  112.479076  5.943385e+00
  115.153003  5.900575e+00
  117.890497  5.856846e+00
  120.693068  5.812241e+00
  123.562264  5.766803e+00
  126.499668  5.720574e+00
  129.506903  5.673595e+00
  132.585627  5.625909e+00
  135.737541  5.577556e+00
  138.964384  5.528576e+00
  142.267937  5.479009e+00
  145.650025  5.428895e+00
  149.112515  5.378882e+00
  152.657317  5.328565e+00
  156.286388  5.277843e+00
  160.001732  5.226749e+00
  163.805400  5.175312e+00
  167.699490  5.123563e+00
  171.686154  5.071534e+00
  175.767592  5.019253e+00
  179.946056  4.966750e+00
  184.223853  4.914053e+00
  188.603345  4.861189e+00
  193.086949  4.808187e+00
  197.677141  4.755073e+00
  202.376453  4.701873e+00
  207.187481  4.648739e+00
  212.112880  4.595601e+00
  217.155368  4.542458e+00
  222.317730  4.489331e+00
  227.602815  4.436241e+00
  233.013541  4.383211e+00
  238.552893  4.330260e+00
  244.223931  4.277408e+00
  250.029785  4.224675e+00
  255.973660  4.172079e+00
  262.058836  4.119639e+00
  268.288673  4.067371e+00
  274.666610  4.015293e+00
  281.196167  3.963421e+00
  287.880949  3.911769e+00
  294.724647  3.860354e+00
  301.731037  3.809190e+00
  308.903988  3.758289e+00
  316.247459  3.707666e+00
  323.765504  3.657333e+00
  331.462273  3.607303e+00
  339.342015  3.557585e+00
  347.409079  3.508193e+00
  355.667919  3.459135e+00
  364.123093  3.410422e+00
  372.779269  3.362064e+00
  381.641226  3.314068e+00
  390.713855  3.266444e+00
  400.002165  3.219199e+00
  409.511282  3.172341e+00
  419.246457  3.125877e+00
  429.213063  3.079813e+00
  439.416601  3.034156e+00
  449.862705  2.988911e+00
  460.557140  2.944083e+00
  471.505811  2.899678e+00
  482.714761  2.855699e+00
  494.190177  2.812152e+00
  505.938395  2.769039e+00
  517.965899  2.726364e+00
  530.279329  2.684131e+00
  542.885482  2.642341e+00
  555.791317  2.600998e+00
  569.003958  2.560103e+00
  582.530698  2.519658e+00
  596.379006  2.479665e+00
